TermTest,FinalExam,GradeChange,Modification,Q3,Q7,Tipsheets
86,75,-11,yes,yes,yes,yes
68,83,15,no,yes,yes,yes
72,85,13,no,yes,no,yes
76,99,23,partial,yes,yes,yes
38,46,8,yes,yes,yes,yes
90,85,-5,no,no,no,no
82,78,-4,partial,yes,yes,yes
80,92,12,partial,yes,yes,yes
62,77,15,partial,yes,yes,no
78,83,5,partial,yes,yes,yes
87,83,-4,yes,yes,yes,yes
58,67,9,yes,yes,yes,yes
70,83,13,no,yes,no,yes
83,87,4,no,yes,yes,yes
92,89,-3,yes,yes,yes,yes
45,48,3,yes,yes,yes,yes
84,85,1,yes,yes,yes,yes
79,76,-3,no,yes,yes,yes
74,68,-6,yes,yes,yes,no
60,70,10,no,yes,yes,yes
50,74,24,partial,yes,yes,no
87,93,6,yes,no,yes,yes
84,94,10,yes,yes,yes,yes
57,71,14,no,yes,yes,yes
82,93,11,yes,yes,yes,yes
80,82,2,yes,yes,yes,yes
93,98,5,yes,yes,yes,yes
50,78,28,yes,yes,yes,yes
89,92,3,yes,yes,yes,yes
83,83,0,no,yes,yes,no
68,78,10,partial,yes,yes,yes
67,72,5,yes,no,yes,yes
75,87,12,yes,yes,yes,yes
45,48,3,partial,yes,yes,yes
65,68,3,partial,yes,yes,yes
73,89,16,no,no,no,no
93,97,4,no,no,no,yes
80,90,10,partial,yes,yes,yes
87,90,3,no,yes,yes,yes
64,67,3,yes,yes,yes,yes
61,75,14,partial,yes,yes,yes
61,75,14,yes,yes,yes,yes
90,87,-3,yes,yes,yes,yes
92,98,6,partial,yes,yes,no
77,82,5,yes,yes,yes,yes
84,79,-5,yes,yes,yes,yes
76,83,7,yes,yes,yes,yes
63,78,15,no,yes,no,no
69,89,20,no,yes,no,no
73,70,-3,yes,yes,yes,yes
88,46,-42,no,no,no,no
100,98,-2,partial,no,yes,yes
90,94,4,no,yes,yes,yes
70,89,19,no,yes,yes,yes
94,94,0,partial,yes,yes,yes
100,97,-3,yes,yes,yes,yes
79,78,-1,no,yes,yes,yes
57,83,26,no,yes,yes,yes
82,91,9,yes,yes,yes,no
82,71,-11,partial,yes,yes,yes
97,85,-12,yes,yes,yes,yes
97,85,-12,yes,yes,yes,no
97,94,-3,yes,yes,yes,yes
65,80,15,yes,yes,yes,no
70,70,0,no,yes,yes,yes
62,94,32,partial,no,no,no
38,53,15,yes,yes,yes,yes
53,67,14,yes,yes,no,yes
98,97,-1,yes,yes,yes,yes
100,98,-2,partial,yes,yes,yes
90,87,-3,no,no,no,no
82,66,-16,yes,yes,yes,no
78,82,4,yes,yes,yes,yes
80,68,-12,yes,no,no,no
100,97,-3,no,yes,yes,yes
96,91,-5,partial,yes,yes,yes
80,85,5,no,no,no,yes
53,49,-4,partial,yes,yes,no
87,95,8,no,yes,yes,yes
83,94,11,yes,yes,no,yes
53,90,37,yes,yes,yes,no
87,91,4,partial,yes,yes,yes
55,62,7,yes,yes,yes,yes
60,75,15,partial,yes,no,no
90,86,-4,yes,yes,yes,yes
84,68,-16,yes,yes,yes,yes
78,83,5,partial,yes,yes,yes
53,49,-4,yes,yes,no,yes
